1.43	99.90	323.3325686
1.41	99.95	322.2624791
1.26	100.00	322.3696658
1.43	100.00	322.3895342
1.29	100.00	322.3702159
1.20	100.00	321.8947981
1.25	100.00	321.6005727
1.29	99.95	321.1762703
1.07	99.95	319.4231056
1.11	99.95	320.999244
0.99	100.00	319.8302936
0.95	99.95	318.6247046
0.94	100.00	317.3483588
0.81	99.95	292.8055784
0.48	100.00	278.7643533
0.24	99.95	257.666766
0.79	99.30	286.329224
1.80	96.60	283.5979789
2.24	94.57	261.4780605
3.17	90.97	259.0207678
3.59	88.34	295.1400332
4.16	84.07	268.6292416
5.93	77.68	247.945611
7.81	72.12	249.300903
9.56	64.25	248.7509378
6.67	77.71	252.1831549
6.84	76.39	259.303471
6.85	76.67	256.8493141
7.77	73.94	258.7386346
7.57	76.22	257.3780462
6.58	81.35	253.0869523
4.80	85.30	250.9976417
3.80	89.07	249.0081012
2.70	95.39	245.2967385
1.98	97.46	243.9243184
1.27	98.56	243.3715595
0.85	99.44	243.6505618
0.57	99.90	241.7640967
0.34	100.00	242.0413832
0.26	100.00	243.5359838
0.12	100.00	241.6990872
-0.15	100.00	244.0887394
-0.37	100.00	240.6411811
-0.31	100.00	238.3232118
-0.77	100.00	236.972542
-0.59	100.00	235.5888429
-0.97	100.00	233.2287464
-0.83	100.00	232.5577966
-1.23	100.00	230.6196233
-0.85	100.00	230.2892283
-1.17	100.00	229.5895978
-1.33	100.00	229.3720273
-1.42	100.00	229.0354077
-1.71	100.00	230.0647217
-1.88	100.00	228.9259662
-2.28	100.00	232.5562161
-2.12	100.00	227.5386027
-2.36	100.00	226.4716544
-2.40	100.00	242.8621149
-2.17	100.00	279.1895862
-2.29	100.00	257.8543209
-2.74	100.00	225.1127532
-2.53	100.00	231.7304449
-2.57	100.00	268.7993046
-2.54	100.00	256.7010247
-1.68	98.96	253.0974886
-1.39	98.01	224.6721
1.66	89.78	228.6108
4.62	77.11	228.6108
6.00	69.74	232.5496156
6.63	63.19	234.2247311
6.34	64.52	236.418719
6.21	64.16	237.8312884
6.60	62.14	240.3390414
7.49	58.71	242.8574802
7.52	58.17	245.2693561
7.65	56.73	246.5081525
7.60	57.44	246.7461986
7.13	57.05	245.434074
6.53	59.61	244.2279311
3.67	76.17	239.1773433
1.97	87.24	236.1303921
0.88	93.06	233.6535125
0.10	95.35	231.8181096
-0.60	97.61	230.7625189
-0.85	98.84	230.6702603
-1.34	99.04	229.5151212
-1.55	99.88	229.1203197
-1.47	100.00	229.1919317
-1.80	100.00	227.3126636
-1.89	100.00	226.6756817
-2.15	100.00	226.7116052
-2.06	100.00	226.5073259
-1.96	100.00	227.0652878
-2.24	100.00	226.946569
-2.09	100.00	227.9145857
-2.03	100.00	229.598149
-2.02	100.00	233.6984359
-2.07	100.00	232.2405795
-1.77	100.00	237.4892547
-1.69	100.00	239.5269371
-1.75	100.00	244.786608
-1.85	100.00	240.2268741
-1.49	100.00	240.7724987
-1.61	100.00	234.7643989
-1.74	100.00	248.584593
-0.98	100.00	301.3577824
-0.64	100.00	310.3169241
-0.45	100.00	312.3759481
-0.20	100.00	312.9064218
-0.31	99.83	313.1193143
-0.26	99.89	312.6086516
0.05	99.89	313.9182095
0.46	99.26	314.7790914
0.97	97.97	314.4591002
1.76	96.01	315.7553463
1.97	95.51	316.7958907
2.15	95.43	317.8029853
2.67	93.80	317.2387077
2.88	89.83	314.4611351
2.57	87.05	314.4719486
2.71	85.68	315.3331287
3.23	84.81	314.5884821
3.49	85.18	306.1353419
2.97	86.79	313.867548
2.33	91.16	315.8726826
2.60	91.69	316.1078783
1.92	94.64	317.3354293
1.82	96.65	317.1793393
1.44	97.65	317.5051359
1.21	98.15	317.0976484
1.12	98.34	318.1690188
0.95	98.37	317.9210644
0.85	98.46	319.1150652
0.73	98.30	318.8127654
0.36	98.73	315.071252
0.30	98.77	314.5376278
0.11	98.92	315.265129
0.09	99.08	314.6673429
0.08	99.30	313.9115412
0.05	99.51	314.1645465
0.19	99.57	314.0079755
0.07	99.51	313.9682703
0.08	99.62	315.0073861
0.21	99.52	313.9382932
0.01	99.62	313.5601633
0.09	99.73	315.3105208
0.09	99.62	315.7459368
0.12	99.68	314.9318453
0.10	99.62	314.3684693
0.09	99.46	314.3693271
0.18	99.57	314.4759014
0.19	99.62	314.5160538
0.26	99.63	313.2376549
0.14	99.57	310.2455129
0.06	99.73	305.4729554
0.19	99.68	305.2910374
0.08	99.62	302.8796288
0.03	99.78	299.4942786
0.04	99.67	294.9880324
0.46	98.43	302.8286457
1.55	93.28	299.4538136
2.99	88.05	295.2680035
4.34	80.49	283.5121966
3.27	85.30	300.6299741
4.50	80.36	295.8601793
4.86	76.20	282.3970762
5.18	75.38	287.4871391
5.88	72.42	284.4398077
5.85	73.00	283.1469981
6.25	74.42	272.58783
6.37	75.01	290.9251348
6.09	77.41	271.6346709
6.39	74.64	265.6371739
5.82	77.20	271.3153309
5.03	83.39	272.7017344
4.01	87.57	270.4749981
3.10	94.04	274.219737
2.17	95.96	282.5673148
1.72	98.07	290.1784837
1.57	98.54	308.1097018
1.65	99.08	312.5982457
1.69	98.89	315.3099459
1.66	98.94	319.4924021
1.52	99.17	319.4504287
1.59	99.37	319.9865336
1.55	99.27	309.0843094
1.38	99.31	317.7305921
1.50	99.36	314.2667319
1.24	99.35	312.0224012
1.13	99.50	306.5492746
1.08	99.65	297.6783667
0.86	99.59	287.8463742
0.56	99.79	253.2619666
0.15	99.95	250.7369701
-0.17	100.00	262.5599976
-0.11	100.00	284.4995014
0.04	100.00	300.6753364
0.30	100.00	300.787894
0.49	100.00	298.5863643
0.43	100.00	303.351145
0.46	100.00	306.8127271
0.61	100.00	317.6389888
0.68	100.00	317.5575773
0.52	100.00	316.6824505
0.17	99.89	315.7401499
0.17	100.00	315.4717259
0.23	99.89	315.4747274
0.19	99.79	316.2016393
0.33	99.68	317.2764879
0.66	99.28	315.8256315
1.05	97.78	317.2707121
0.91	97.70	318.3613147
1.27	96.97	318.2948507
2.38	92.83	319.6553249
2.56	93.10	315.4828648
2.49	92.30	319.8082477
3.37	88.94	315.4981135
4.03	82.23	314.3638661
3.03	87.83	317.9942355
