0.11	98.92	315.27	0.00	0.00
0.09	99.08	314.67	0.00	0.00
0.08	99.30	313.91	0.00	0.00
0.05	99.51	314.16	0.00	0.00
0.19	99.57	314.01	0.00	0.00
0.07	99.51	313.97	0.00	0.00
0.08	99.62	315.01	0.00	0.00
0.21	99.52	313.94	0.00	0.00
0.01	99.62	313.56	0.00	0.00
0.09	99.73	315.31	0.00	0.00
0.09	99.62	315.75	0.00	0.00
0.12	99.68	314.93	0.00	0.00
0.10	99.62	314.37	0.00	0.00
0.09	99.46	314.37	0.00	0.00
0.18	99.57	314.48	0.00	0.00
0.19	99.62	314.52	0.00	0.00
0.26	99.63	313.24	0.00	0.00
0.14	99.57	310.25	0.00	0.00
0.06	99.73	305.47	0.00	0.00
0.19	99.68	305.29	0.00	0.00
0.08	99.62	302.88	0.00	0.00
0.03	99.78	299.49	0.00	0.00
0.04	99.67	294.99	1.23	62.93
0.46	98.43	302.83	66.83	190.33
1.55	93.28	299.45	128.28	304.82
2.99	88.05	295.27	151.93	391.97
4.34	80.49	283.51	214.67	455.99
3.27	85.30	300.63	172.45	502.13
4.50	80.36	295.86	211.62	534.25
4.86	76.20	282.40	248.67	554.87
5.18	75.38	287.49	279.13	565.54
5.88	72.42	284.44	293.93	566.99
5.85	73.00	283.15	283.28	559.35
6.25	74.42	272.59	319.39	542.06
6.37	75.01	290.93	272.28	513.88
6.09	77.41	271.63	249.83	472.63
6.39	74.64	265.64	276.18	414.93
5.82	77.20	271.32	168.35	335.92
5.03	83.39	272.70	110.29	230.38
4.01	87.57	270.47	63.64	102.47
3.10	94.04	274.22	22.99	9.93
2.17	95.96	282.57	0.00	0.00
1.72	98.07	290.18	0.00	0.00
1.57	98.54	308.11	0.00	0.00
1.65	99.08	312.60	0.00	0.00
1.69	98.89	315.31	0.00	0.00
1.66	98.94	319.49	0.00	0.00
1.52	99.17	319.45	0.00	0.00
1.59	99.37	319.99	0.00	0.00
1.55	99.27	309.08	0.00	0.00
1.38	99.31	317.73	0.00	0.00
1.50	99.36	314.27	0.00	0.00
1.24	99.35	312.02	0.00	0.00
1.13	99.50	306.55	0.00	0.00
1.08	99.65	297.68	0.00	0.00
0.86	99.59	287.85	0.00	0.00
0.56	99.79	253.26	0.00	0.00
0.15	99.95	250.74	0.00	0.00
-0.17	100.00	262.56	0.00	0.00
-0.11	100.00	284.50	0.00	0.00
0.04	100.00	300.68	0.00	0.00
0.30	100.00	300.79	0.00	0.00
0.49	100.00	298.59	0.00	0.00
0.43	100.00	303.35	0.00	0.00
0.46	100.00	306.81	0.00	0.00
0.61	100.00	317.64	0.00	0.00
0.68	100.00	317.56	0.00	0.00
0.52	100.00	316.68	0.00	0.00
